MongoDB shell version: 2.4.5
connecting to: localhost:27017/futura
bikramjs	usc	1	2	24	8	2	4	6	0	7	0	3.23
rpais	usc	1	1	33	4	1	3	2	0	11	4	3.9
veerasus	usc	1	1	25	6	3	14	23	0	6	0	3.8
lamorris	usc	0	0	0	0	0	0	0	0	0	0	undefined
vspathak	usc	1	0	0	0	1	2	4	0	0	0	3.45
nagda	usc	0	0	0	0	2	NaN	6	0	1	0	3.66
ritujain	usc	0	2	32	2	2	2	0	0	1	0	3.46
zhuobofe	usc	1	1	17	3	1	13	1	0	5	6	4.0
ashishra	usc	1	2	38	7	2	7	5	2	6	0	3.6
kolarsur	usc	1	1	44	5	0	0	0	0	2	2	undefined
vineetba	usc	0	0	0	0	0	0	0	0	4	0	undefined
ramadura	usc	1	1	33	5	2	NaN	8	0	3	4	3.53
shar304	usc	1	0	0	0	0	0	0	0	1	0	3.2
gaggarwa	usc	1	0	0	0	1	3	5	1	7	0	undefined
govil	usc	1	4	38	0	1	12	6	0	0	6	undefined
ayanthak	usc	1	1	47	13	0	0	0	1	3	4	3.2
anirudha	usc	1	3	36	2	2	NaN	4	0	1	6	3.88
madhvish	usc	0	1	14	3	1	NaN	4	0	4	0	3.45
vinodhsa	usc	1	2	50	8	0	0	0	0	6	4	3.46
prateeks	usc	1	1	35	4	1	2	1	0	6	0	3.72
rtrivedi	usc	0	0	0	0	0	0	0	0	0	0	3.6
pkchaudh	usc	1	8	140	24	0	0	0	0	1	1	3.75
ketansin	usc	1	2	64	0	4	NaN	20	0	9	0	3.88
huangjun	usc	1	6	33	10	2	7	2	1	4	4	3.9(Major)
dodagoud	usc	1	1	21	2	2	6	1	0	5	0	undefined
yuanchac	usc	1	0	0	0	0	0	0	0	6	0	undefined
kkaushik	usc	1	2	29	11	1	3	2	1	8	0	3.33
aeron	usc	0	2	24	4	1	5	2	0	3	4	4.00
gkhurana	usc	1	1	4	3	1	NaN	5	0	7	0	undefined
jahagird	usc	0	0	0	0	0	0	0	0	0	0	undefined
shipengx	usc	1	1	9	6	1	2	9	0	4	0	undefined
kailu	usc	1	0	0	0	1	2	2	0	6	2	3.93
ziyuou	usc	0	0	0	0	0	0	0	0	0	0	3.9
priyadarshinik	ucla	1	2	25	6	1	4	5	3	3	0	undefined
yetian	usc	1	0	0	0	0	0	0	0	1	6	3.17
jeyarama	usc	1	1	34	4	1	4	3	0	5	0	3.76
arnikaga	usc	1	1	5	4	2	NaN	7	0	7	0	3.56
kanikash	usc	1	0	0	0	1	3	5	1	6	0	3.4
piyushsaini	usc	1	2	30	9	1	3	4	0	8	0	3.95
kaushikraju	usc	1	0	0	0	1	NaN	4	1	3	0	undefined
liuyuany	usc	1	3	11	0	3	10	0	1	8	0	undefined
poojitsh	usc	1	0	0	0	2	12	5	0	7	6	3.43
aahlad	usc	0	1	8	2	2	6	3	0	4	0	undefined
heguangl	usc	1	0	0	0	2	8	18	2	9	0	4
liu358	usc	0	0	0	0	0	0	0	0	0	0	3.84
lizhen	usc	1	0	0	0	0	0	0	0	5	0	4
pramitku	usc	1	0	0	0	0	0	0	0	2	0	3.7
nirmitde	usc	1	2	35	9	1	7	2	0	5	6	undefined
neelamag	usc	1	0	0	0	1	2	2	0	7	5	3.4
wwu2	usc	1	1	21	6	0	0	0	0	0	0	3.6
batchupr	usc	0	0	0	0	0	0	0	0	0	0	3.43
rustogi	usc	1	1	36	16	2	NaN	7	0	8	4	3.59
adityaaj	usc	1	3	16	4	1	3	4	1	6	0	3.78
vdalvi	usc	1	4	22	4	1	2	12	0	6	0	3.95
anarain	usc	1	0	0	0	3	10	14	1	6	4	null
pmaheshw	usc	1	1	10	5	2	NaN	6	0	6	6	undefined
renxiawang	usc	0	0	0	0	0	0	0	0	0	0	undefined
ketapate	usc	1	0	0	0	3	NaN	6	0	7	4	3.64
rballuru	usc	1	0	0	0	0	0	0	0	9	6	
tatachar	usc	0	0	0	0	0	0	0	0	0	0	3.95
skandag	usc	1	1	23	5	1	2	4	0	7	0	3.5
jhobalia	usc	1	0	0	0	1	2	3	1	7	0	undefined
kdalal	usc	1	0	0	0	0	0	0	0	9	6	3.46
